SH_ID_36,区36,地址,lng,lat
10foak1,d,丹霞山路257弄,121.36272426077211,31.36199283809511
10foaks,d,四元路126号,121.43008722771289,31.41319485750804
10foal2,d,泗塘一村,121.45176291893405,31.337848317005673
10foak5,d,永顺路81弄,121.34915955011027,31.412134731304967
10foaki,d,永顺路81弄,121.34916794420275,31.412323382284736
10foakx,d,永顺路81弄,121.34885505762003,31.412267001050928
10foaky,d,永顺路81弄,121.34912459273217,31.412340437438957
10foakz,d,永顺路81弄,121.34883036694534,31.412182050708036
10foam6,d,长江路868号,121.48344337730143,31.34622741382894
10foam4,k,万顺路2768弄,121.51659748202917,30.969776427832038
10foak3,9,三门路747弄,121.48023837632908,31.31290368317692
10foaku,9,四川北路1545弄,121.48200053789408,31.25583279631453
10foal6,1,车站东路195号,121.46940849483305,31.230004110935365
10foalo,1,车站东路195号,121.4693921902654,31.22984042613831
10foals,1,淮海东路89弄,121.48180820951566,31.225236109750064
10foalb,1,西藏南路1739弄,121.49185388358599,31.199195298359992
10foal0,1,徐家汇路388号,121.47398453629148,31.20893132217788
10foakq,e,宝安公路3705弄,121.26866016718898,31.325708129550037
10foako,e,城中路20号,121.24909297516018,31.37678496150078
10foakp,e,城中路20号,121.24931380233132,31.376810132098843
10foakr,e,城中路20号,121.24911019386707,31.37645785938269
10foakl,e,陇南路嘉涛路停车场,121.32725522389357,31.2687720858256
10foalj,e,娄塘大北街132号,121.21565912379464,31.431592019190774
10foalk,e,娄塘娄南村,121.21746943080791,31.42464117282637
10foall,e,娄塘路626弄,121.21777266233039,31.43098650042652
10foali,e,娄塘路658弄,121.21709553395323,31.430494012968666
10foalh,e,南新路219弄,121.21841510420757,31.43048624258345
10foak2,e,秋竹路801弄,121.21845865049329,31.382743915401928
10foalg,e,新宝路88弄,121.20043403469904,31.39690769755465
10foalt,g,学府路1811弄,121.31454126647603,30.74906999488716
10foalu,g,学府路1811弄,121.31456898779454,30.749001593673448
10foalv,g,学府路1811弄,121.31428377839154,30.749170150657335
10foalw,g,学府路1811弄,121.31452590678505,30.74933960808317
10foakw,6,灵石路1197号,121.42697817535004,31.272603822568783
10foak1,6,陆丰路中宝大厦,121.47468234001501,31.257698568167356
10foam3,6,茂名北路93号,121.4602159110954,31.225540803039944
10foak2,6,塘沽路747弄,121.4808901410048,31.246349231362466
10foakc,c,德宏路2465号,121.435064497307,31.013424479972027
10foak8,c,华漕纪东,121.27766799282703,31.24615300451853
10foak9,c,江川路1565号,121.3728870838908,30.9916765727819
10foalm,c,江川路241弄,121.42200349275032,31.004698145329733
10foaln,c,江川路303弄,121.41556558760361,31.002840877792988
10foam5,c,晋豪生活广场,121.34919151315569,31.170574021272103
10foam1,c,景谷中路58弄,121.4173225101174,31.022405222728345
10foakb,c,龙茗路513弄13支弄,121.38839710373,31.129260612898495
10foalz,c,龙吴路5688弄,121.46858048956986,31.040034721995212
10foaka,c,鲁康路555弄,121.5163774639309,31.027218255929004
10foakt,c,罗秀路1377号,121.41780284273123,31.128375317299714
10foakm,c,普乐路425弄,121.42370888349295,31.114729865086268
10foakn,c,普乐路425弄,121.4237664968352,31.11459885562387
10foam0,c,申郑路18弄,121.31143937199677,31.203616877274705
10foala,c,同乐路158号,121.41945528478225,31.125026442867075
10foak5,c,银都路3151弄,121.39953370083073,31.09196493726977
10foakh,c,银都路3151弄,121.39950195342446,31.092170605055937
10foake,f,博兴路462弄,121.58182895974444,31.26530047569084
10foale,f,博兴路462弄,121.58173513296902,31.265396815510783
10foal9,f,光辉村,121.71214209768561,31.063807795651144
10foak6,f,光泽路120弄,121.61400224125529,31.33274950418997
10foakf,f,栖山路1555弄,121.56498186988223,31.257525629267583
10foakg,f,栖山路1555弄,121.56491648554893,31.257583528224366
10foaly,f,听谐路86弄,121.75061076462976,31.057262160911232
10foakd,f,瓦屑建设路60弄,121.65424892048789,31.109797087137636
10foal5,f,长清路103弄,121.4892872023988,31.169913371742087
10foak4,i,徐和路165弄,121.28218933441782,31.157745593407718
10foald,h,博安路32弄,121.31204041019492,31.13699375920506
10foakk,h,沪松公路1100号,121.32986975554354,31.146401353927345
10foakj,h,环城路616弄,121.25215137800224,31.01160843516336
10foalc,h,茸惠路858弄,121.25758220128392,31.061317053176992
10foalq,h,王家厍路55弄,121.2481952678963,31.091647229858612
10foalr,4,华发路368弄,121.44882652644286,31.12883367121258
10foak3,4,华泾路880弄,121.447669266705,31.120270556105286
10foal7,4,华泾路880弄,121.447883221076,31.12050277313588
10foal8,4,老沪闵路1039弄,121.43458022076422,31.13057906749976
10foak7,4,龙吴路1717弄,121.45252019183788,31.132031072033
10foalp,4,罗城路470号,121.4402301044354,31.15107335960574
10foalx,4,梅陇路130号,121.42502912237457,31.14298176771202
10foam2,4,天等路430弄,121.42714974740824,31.13801640464587
10foal4,4,田林路90弄,121.4191524525113,31.170184022560335
10foal1,4,田林十四村,121.42368102508469,31.175711129977355
10foal3,4,宜山路600号,121.42384297155007,31.178929033426602
10foak4,4,宜山路上海精工工地宿舍,121.43115863734161,31.191860168791678
10foakv,5,仙霞西路885弄,121.36358056807458,31.212175822425436
